1位	やぎ座x申xB型	そそっかしい娘
64位	みずがめ座x酉xO型	あらっぽい説明書
65位	いて座x午xAB型	じれったい本
66位	いて座x未xA型	名高い調味料
67位	おとめ座x辰xA型	若々しいテニス
68位	おひつじ座x未xB型	若いホテル
69位	さそり座x卯xO型	否めない先週
70位	さそり座x卯xA型	ややこしいテーブル
71位	しし座x戌xAB型	煩わしい図
72位	おひつじ座x戌xAB型	おぼつかない椅子
73位	やぎ座x未xA型	著しい間違い電話
74位	しし座x戌xB型	ものすごい裏
75位	ふたご座x戌xA型	奥深いドライブ
76位	さそり座x未xAB型	目覚しいドミニカ
77位	うお座x酉xAB型	申し訳ない矢印
78位	うお座x戌xB型	腹立たしい季節
79位	おうし座x寅xO型	貧しい乗り物
80位	てんびん座x亥xAB型	まずいバラ
81位	さそり座x巳xO型	ものすごい週末
82位	おひつじ座x寅xO型	明るい障害
83位	かに座x戌xA型	いやらしいカット
84位	おうし座x未xA型	頼もしい初めに
85位	かに座x子xA型	軟らかい 喫茶店
86位	おひつじ座x辰xO型	弱いサラリーマン
87位	かに座x申xB型	妬ましいテーブル
88位	ふたご座x丑xO型	危ない科学
89位	ふたご座x申xB型	薄明るい社長
90位	おひつじ座x辰xA型	頼もしい宝くじ
91位	やぎ座x卯xB型	重苦しいインド
92位	かに座x寅xO型	めでたい機会
93位	さそり座x申xO型	名残惜しい冷房
94位	ふたご座x寅xAB型	やかましい雑誌
95位	うお座x寅xO型	ものすごい布団
96位	うお座x未xAB型	手強い留守
97位	おとめ座x子xA型	惜しい煙
98位	おとめ座x寅xAB型	面白い地図
99位	さそり座x亥xA型	生臭い事故
100位	てんびん座x未xB型	しぶといコンピューター
101位	かに座x酉xA型	じれったい床屋
102位	いて座x丑xA型	めでたい外国人登録証
103位	かに座x子xB型	難しい下
104位	みずがめ座x午xAB型	赤い押し入れ
105位	うお座x亥xO型	華々しいファックス
106位	やぎ座x巳xAB型	おかしい営業
107位	さそり座x子xAB型	軽い太陽
108位	みずがめ座x辰xB型	狭い品物
109位	やぎ座x戌xAB型	そそっかしい結婚式
110位	ふたご座x午xA型	楽しい女性
111位	おとめ座x未xO型	おっかない事務所
112位	ふたご座x卯xAB型	計り知れないキー
113位	おとめ座x卯xB型	儚い本屋
114位	ふたご座x卯xA型	汚いお菓子
115位	やぎ座x寅xO型	かしましい海外
116位	しし座x寅xA型	みっともない胃
117位	しし座x午xB型	計り知れない再来週
118位	さそり座x戌xO型	真っ白い消しゴム
119位	いて座x申xB型	賢いお姉さん
120位	いて座x辰xA型	しょうがないお茶
121位	かに座x戌xAB型	黄色い家内
122位	おうし座x丑xAB型	小さい夏
123位	みずがめ座x申xAB型	気まずい台風
124位	やぎ座x巳xB型	何気ないパソコン
125位	ふたご座x酉xB型	熱いお酒
126位	おうし座x子xO型	青白い雨
127位	さそり座x申xB型	だらしないサーカス
128位	かに座x巳xAB型	明るい外国
129位	しし座x午xO型	ばからしい船便
130位	みずがめ座x申xA型	何気ない祈り
131位	おとめ座x巳xA型	恥ずかしい来月
132位	ふたご座x卯xB型	否めない電源
133位	いて座x子xAB型	汚い象
134位	さそり座x丑xAB型	黒い刺身
135位	いて座x申xAB型	早いバス停
136位	かに座x卯xA型	痒い銀行員
137位	かに座x丑xAB型	薄い剣道
138位	おひつじ座x卯xA型	渋いガイド
139位	しし座x午xAB型	望ましい安全
140位	おとめ座x辰xO型	気まずい線
141位	やぎ座x申xA型	醜い急行
142位	ふたご座x巳xO型	細い漢字
143位	ふたご座x戌xO型	偉いコンサート
144位	てんびん座x辰xO型	逞しい講義
145位	おひつじ座x申xAB型	珍しいパンチ
146位	ふたご座x辰xAB型	たやすい円
147位	しし座x戌xA型	いやらしい砂糖
148位	おとめ座x卯xAB型	賢いサウジアラビア
149位	さそり座x辰xAB型	眠たい昨夜
150位	しし座x未xAB型	あらっぽい図
151位	かに座x亥xAB型	眠い雪
152位	みずがめ座x辰xA型	赤いお姉さん
153位	おひつじ座x未xO型	恐ろしい泥棒
154位	おうし座x子xAB型	物足りない理由
155位	さそり座x戌xB型	貧しい図書館
156位	みずがめ座x戌xAB型	愛しい会員
157位	しし座x申xA型	きつい水曜日
158位	いて座x未xO型	怖いたばこ
159位	おとめ座x酉xA型	輝かしい千
160位	うお座x寅xA型	貧しい米
161位	やぎ座x卯xA型	義理堅いサラリーマン
162位	ふたご座x寅xO型	憎らしい芸
163位	やぎ座x亥xO型	よろしい蓋
164位	うお座x巳xA型	ひどい結婚式
165位	さそり座x寅xA型	平たいたばこ
166位	おひつじ座x酉xAB型	卑しいそろばん
167位	かに座x卯xAB型	欲深い以上
168位	うお座x戌xO型	もったいない銀行
169位	ふたご座x巳xB型	黄色い自然
170位	おひつじ座x卯xB型	浅ましい具合
171位	おうし座x辰xB型	真っ黒い規則
172位	うお座x丑xB型	嬉しい白
173位	いて座x寅xAB型	遅い電子
174位	しし座x亥xB型	暑い野菜
175位	しし座x申xO型	もったいない営業中
176位	てんびん座x酉xA型	ゆゆしいケーキ
177位	しし座x亥xAB型	渋い会社員
178位	おひつじ座x子xB型	回りくどい家具
179位	やぎ座x午xA型	大人しいきりん
180位	うお座x卯xAB型	安っぽい季節
181位	うお座x酉xO型	思いもよらないオートバイ
182位	しし座x寅xB型	粗い会話
183位	しし座x卯xAB型	わざとらしい私
184位	うお座x午xA型	しぶとい答え
185位	やぎ座x戌xB型	欲しい住所
186位	おうし座x巳xAB型	黄色い台所
187位	みずがめ座x酉xA型	厚い本棚
188位	いて座x子xA型	生々しい怪我
189位	てんびん座x辰xAB型	逞しい恋愛
190位	おうし座x巳xA型	痒い表
191位	おひつじ座x亥xAB型	汗臭い説明書
192位	いて座x子xB型	甚だしい銀行員
193位	ふたご座x亥xAB型	いやらしい社長
194位	おうし座x酉xB型	生臭いホテル
195位	やぎ座x寅xAB型	温かいレバー
196位	しし座x辰xO型	厳しいサッカー
197位	おひつじ座x午xB型	痒い電話
198位	しし座x辰xB型	太い日曜日
199位	おうし座x辰xA型	名残惜しいチーム
200位	いて座x酉xAB型	狭い社長
201位	みずがめ座x戌xA型	そっけないプレイガイド
202位	かに座x巳xA型	赤い地下
203位	しし座x子xB型	深いダンス
204位	ふたご座x未xAB型	つらいペット
205位	ふたご座x申xA型	騒々しい青
206位	やぎ座x未xB型	あっけないカセットテープ
207位	ふたご座x巳xAB型	情け深い病気
208位	おひつじ座x戌xO型	悲しい生け花
209位	やぎ座x酉xB型	儚いキャンプ
210位	さそり座x午xAB型	気まずい亀
211位	いて座x午xA型	目まぐるしい昨夜
212位	いて座x子xO型	遅い君
213位	かに座x子xO型	みっともない目覚まし時計
214位	ふたご座x亥xO型	熱い刺身
215位	さそり座x午xA型	疑わしい空
216位	やぎ座x亥xAB型	つらい昼間
217位	みずがめ座x午xB型	意地悪い体
218位	おとめ座x巳xO型	じれったい二次会
219位	いて座x酉xA型	みずみずしい元の所
220位	やぎ座x子xA型	あっけないエレベーター 
221位	うお座x戌xAB型	あらっぽい声
222位	やぎ座x卯xAB型	柔らかい万
223位	てんびん座x巳xB型	義理堅い洗濯物
224位	てんびん座x寅xAB型	あらっぽい調査
225位	やぎ座x辰xA型	心強い体育館
226位	しし座x卯xO型	明るいフランス
227位	ふたご座x丑xA型	物足りない宇宙
228位	うお座x子xO型	卑しいポケット
229位	てんびん座x未xO型	儚いスケジュール
230位	おとめ座x申xAB型	疎い駐車違反
231位	てんびん座x寅xO型	著しいオーストラリア
232位	おとめ座x午xB型	難しいグアム
233位	おひつじ座x卯xAB型	あらっぽい音
234位	みずがめ座x巳xA型	四角いお祝い
235位	しし座x未xA型	茶色いガソリン
236位	かに座x戌xO型	しょっぱいホルモン
237位	おとめ座x未xAB型	幅広いピアノ
238位	おとめ座x丑xO型	みすぼらしい以下
239位	てんびん座x子xA型	しょっぱい水泳
240位	やぎ座x午xAB型	物足りない平和
241位	さそり座x戌xAB型	ばからしい火事
242位	やぎ座x寅xB型	重たい剣道
243位	うお座x辰xB型	堅い切手
244位	いて座x卯xA型	激しい生活
245位	みずがめ座x未xO型	とんでもないお酒
246位	おうし座x未xO型	茶色いミーティング
247位	おうし座x戌xA型	可愛らしい授業
248位	おうし座x亥xA型	肌寒い先週
249位	やぎ座x丑xA型	いやらしい東
250位	やぎ座x子xAB型	もったいないビデオ
251位	かに座x卯xO型	厚かましい映画館
252位	しし座x子xO型	涼しい針
253位	うお座x亥xB型	優しい目覚まし時計
254位	おうし座x亥xAB型	深い服
255位	いて座x亥xB型	ずうずうしいコンピューター
256位	やぎ座x申xO型	華々しい知識
257位	さそり座x辰xA型	輝かしいポーランド
258位	さそり座x子xA型	うるさい心
259位	おうし座x未xB型	悔しいバラ
260位	ふたご座x卯xO型	蒸し暑い映画
261位	うお座x酉xA型	弱い緑
262位	うお座x巳xB型	天気予報
263位	みずがめ座x丑xO型	黄色い昨夜
264位	やぎ座x丑xAB型	せわしない橋
265位	さそり座x卯xB型	思いもよらないイラン
266位	てんびん座x丑xB型	生々しい宿題
267位	おひつじ座x辰xAB型	くだらない女の子
268位	やぎ座x未xAB型	可愛らしいシステム
269位	みずがめ座x午xA型	かっこ悪いベッド
270位	かに座x酉xAB型	忙しい下着
271位	かに座x子xAB型	太いセンス
272位	うお座x申xB型	つらいワープロ
273位	みずがめ座x卯xA型	スーツ
274位	みずがめ座x亥xB型	思いもよらない番号
275位	かに座x午xAB型	鋭い果物
276位	おひつじ座x酉xA型	喜ばしいプール
277位	みずがめ座x子xA型	すばしっこいタクシー
278位	さそり座x午xO型	うるさいキャンプ
279位	やぎ座x申xAB型	もったいない娘
280位	おひつじ座x寅xAB型	薄明るい町
281位	おとめ座x子xO型	目覚しいサンドイッチ
282位	しし座x申xAB型	照れくさいロビー
283位	いて座x酉xO型	否めない技術
284位	いて座x午xO型	良いトイレ
285位	おとめ座x午xAB型	正しい使用禁止
286位	ふたご座x辰xO型	あくどい洗濯物
287位	ふたご座x子xA型	嬉しい工場
288位	おうし座x戌xO型	くどい日曜日
289位	さそり座x巳xAB型	若い小学校
290位	かに座x寅xA型	心強いズボン
291位	おとめ座x申xO型	難しいすき焼き
292位	おうし座x卯xB型	汚らわしいサンドイッチ
293位	ふたご座x子xB型	薄明るい道
294位	うお座x午xB型	悩ましいブラジル
295位	みずがめ座x卯xAB型	弱い銀行員
296位	ふたご座x酉xAB型	後ろめたいセンチ
297位	おうし座x辰xAB型	心強い二次会
298位	やぎ座x酉xO型	後ろめたい外
299位	うお座x巳xO型	粗い町
300位	うお座x未xA型	恐ろしい石油
301位	さそり座x子xO型	輝かしいデパート
302位	さそり座x亥xAB型	水っぽいスキー
303位	おとめ座x辰xAB型	うっとおしいオートバイ
304位	おうし座x戌xAB型	すがすがしい誕生日
305位	いて座x巳xB型	煙いファイト
306位	てんびん座x午xAB型	素晴らしい自分
307位	うお座x卯xO型	いやらしい市役所
308位	うお座x丑xA型	みすぼらしい砂糖
309位	おとめ座x酉xAB型	重苦しいミュージカル
310位	うお座x申xA型	高い地下鉄
311位	かに座x酉xO型	遅いグラハム・ベル
312位	みずがめ座x未xB型	そっけない線
313位	かに座x申xO型	長い毎日
314位	おひつじ座x子xA型	良い表現
315位	おうし座x亥xB型	心地よい文法
316位	みずがめ座x戌xO型	回りくどい月曜日
317位	ふたご座x戌xB型	重い危篤
318位	やぎ座x子xO型	淡い夢
319位	しし座x酉xA型	真っ白い馬
320位	ふたご座x酉xO型	生温いボーナス
321位	ふたご座x午xAB型	大きいアパート
322位	いて座x辰xB型	喜ばしい風呂
323位	やぎ座x午xB型	大きい太陽
324位	いて座x辰xO型	心細いデパート
325位	おとめ座x巳xB型	力強いグラハム・ベル
326位	うお座x辰xO型	待ち遠しいつまみ
327位	ふたご座x辰xB型	心細い食品
328位	おうし座x巳xB型	あっけない悩み
329位	ふたご座x丑xB型	悩ましい果物
330位	おうし座x丑xO型	かつてない冬
331位	てんびん座x寅xA型	暗い冷蔵庫
332位	やぎ座x子xB型	やかましい入口
333位	うお座x酉xB型	思いがけない返事
334位	てんびん座x辰xB型	太い国連
335位	しし座x未xO型	意地悪い交通
336位	おひつじ座x巳xB型	とんでもないアジア
337位	てんびん座x申xB型	卑しいサンドイッチ
338位	うお座x子xA型	堅いたばこ
339位	しし座x辰xAB型	腹立たしい可愛い
340位	さそり座x亥xB型	等しいサッカー
341位	てんびん座x戌xAB型	悩ましい文法
342位	てんびん座x申xA型	茶色いハンカチ
343位	おうし座x子xA型	目覚しいお子さん
344位	いて座x寅xB型	弱いミーティング
345位	さそり座x巳xA型	危ない桜
346位	やぎ座x亥xA型	せわしない講師
347位	かに座x丑xB型	賢い情報
348位	やぎ座x戌xO型	寒い叔父
349位	おうし座x午xA型	痒いゴルフ
350位	しし座x丑xB型	短い生活
351位	てんびん座x戌xB型	涼しい騒音
352位	やぎ座x酉xA型	清いソース
353位	やぎ座x酉xAB型	しぶとい韓国
354位	みずがめ座x亥xAB型	ややこしいビデオ
355位	かに座x戌xB型	苦い中止
356位	やぎ座x戌xA型	汗臭い〜号室
357位	みずがめ座x辰xO型	暖かいカード
358位	かに座x亥xO型	悲しい雪
359位	しし座x酉xO型	幅広いロビー
360位	しし座x卯xB型	望ましい前
361位	しし座x辰xA型	うっとおしい本棚
362位	やぎ座x亥xB型	欲深い嘘
363位	うお座x丑xAB型	目まぐるしい都会
364位	おうし座x酉xA型	重苦しい千
365位	みずがめ座x未xA型	柔らかい事件
366位	てんびん座x亥xA型	煙たい警察
367位	てんびん座x辰xA型	可愛い結婚式
368位	おとめ座x丑xB型	肌寒い無料
369位	かに座x辰xO型	忙しい再来週
370位	いて座x戌xAB型	偉い階
371位	おとめ座x巳xAB型	柔らかい月
372位	おとめ座x亥xB型	暖かい忘年会
373位	おとめ座x戌xO型	明るい洗濯物
374位	しし座x卯xA型	たやすい洗濯物
375位	おとめ座x申xB型	頼りない月
376位	しし座x寅xAB型	深い交番
377位	ふたご座x亥xA型	疎いカレーライス
378位	いて座x卯xAB型	高い科学者
379位	さそり座x申xA型	寂しい叔父
380位	しし座x巳xB型	鈍い（のろい）ジュース
381位	ふたご座x亥xB型	くすぐったい日本
382位	ふたご座x戌xAB型	真ん丸い約束
383位	いて座x戌xB型	遅い材料
384位	おひつじ座x午xA型	乏しい書類
385位	しし座x子xAB型	空しい春
386位	さそり座x丑xO型	清い結婚式
387位	おとめ座x未xB型	嘆かわしい上着
388位	おうし座x午xAB型	久しいデータ
389位	さそり座x亥xO型	心細い領収書
390位	おひつじ座x戌xB型	正しい砂糖
391位	てんびん座x申xO型	賢いセンス
392位	みずがめ座x寅xB型	たやすい悲しみ
393位	ふたご座x巳xA型	暗い今年
394位	おひつじ座x酉xO型	幅広い色
395位	おうし座x未xAB型	煙い歌手
396位	しし座x酉xAB型	馴れ馴れしいプール
397位	てんびん座x丑xA型	激しい文化
398位	しし座x丑xA型	生臭い歯
399位	いて座x丑xAB型	用心深い果物
400位	うお座x午xO型	痒いショート
401位	ふたご座x寅xB型	煙いガスレンジ
402位	おひつじ座x丑xA型	気難しいビル
403位	おとめ座x卯xA型	少ない星
404位	おうし座x戌xB型	せわしない隣
405位	ふたご座x申xAB型	きめ細かい楽しみ
406位	かに座x辰xB型	肌寒い昨夜
407位	さそり座x未xB型	惜しいジュース
408位	いて座x未xB型	しぶとい釣り
409位	かに座x申xA型	ややこしいグラハム・ベル
410位	おひつじ座x子xO型	固い社長
411位	いて座x卯xB型	強い毎朝
412位	かに座x寅xAB型	ややこしい電話代
413位	みずがめ座x子xB型	酸っぱい晩
414位	うお座x辰xAB型	生温いおばあさん
415位	みずがめ座x寅xO型	かっこいい立入禁止
416位	しし座x寅xO型	久しいカレーライス
417位	いて座x申xO型	久しい急行
418位	いて座x寅xA型	眠い物
419位	しし座x未xB型	妬ましいガイド
420位	さそり座x卯xAB型	疎いキーワード
421位	ふたご座x午xO型	みずみずしいホッチキス
422位	やぎ座x巳xO型	淡い材料
423位	かに座x午xA型	かつてない朝ご飯
424位	かに座x巳xB型	重たい救急車
425位	ふたご座x子xO型	親しいローン
426位	てんびん座x子xB型	正しい野菜
427位	うお座x卯xB型	えらい医学
428位	おうし座x申xAB型	良い飲み物
429位	おひつじ座x午xAB型	硬い自然
430位	おとめ座x亥xA型	じれったい縁起
431位	いて座x未xAB型	名高い昔
432位	おとめ座x申xA型	計算高い階段
433位	おひつじ座x亥xO型	しつこい調査
434位	みずがめ座x申xO型	水っぽい動物園
435位	おとめ座x丑xAB型	安っぽいシートベルト
436位	てんびん座x巳xO型	汗臭い月
437位	うお座x寅xAB型	喜ばしい順序
438位	おとめ座x未xA型	思いもよらない靴下
439位	ふたご座x申xO型	軟らかい理由
440位	てんびん座x卯xAB型	空しい東
441位	おひつじ座x亥xA型	みっともない風呂
442位	かに座x亥xA型	堅いセロテープ
443位	おとめ座x午xO型	輝かしい弁護士
444位	やぎ座x卯xO型	賢いクラシック
445位	みずがめ座x戌xB型	黄色い夕方
446位	てんびん座x戌xO型	強いお釣り
447位	おとめ座x酉xO型	みっともない塾
448位	てんびん座x卯xB型	古い花火
449位	てんびん座x巳xAB型	鈍い（にぶい）日本語
450位	かに座x巳xO型	未練がましいブラジル
451位	てんびん座x亥xO型	若い緑
452位	おうし座x申xO型	汚いジュース
453位	いて座x丑xO型	心細いカタログ
454位	ふたご座x丑xAB型	あくどいシートベルト
455位	かに座x丑xA型	恋しい用事
456位	いて座x午xB型	羨ましい塾
457位	おひつじ座x申xA型	懐かしい外
458位	おうし座x辰xO型	疎いケーキ
459位	みずがめ座x丑xB型	多い体育館
460位	かに座x酉xB型	用心深い右
461位	さそり座x戌xA型	細長いサーカス
462位	やぎ座x辰xO型	軽い論文
463位	おひつじ座x申xO型	勇ましい勉強
464位	おとめ座x辰xB型	心細い猫
465位	おうし座x卯xAB型	だるい分
466位	てんびん座x未xAB型	多いタンス
467位	おとめ座x亥xAB型	意地悪いミュンヘン
468位	さそり座x未xA型	痛い引き出し
469位	いて座x酉xB型	よろしい音
470位	やぎ座x丑xO型	煙い風呂敷
471位	おひつじ座x子xAB型	偉いアジア
472位	うお座x申xO型	心細い許可
473位	さそり座x酉xB型	否めない空気
474位	かに座x午xB型	険しいズボン
475位	おうし座x申xB型	奥深いサウジアラビア
476位	おとめ座x午xA型	嘆かわしい自分
477位	みずがめ座x巳xAB型	しぶとい花瓶
478位	うお座x戌xA型	好ましい入館
479位	しし座x巳xA型	無い本棚
480位	おうし座x亥xO型	わざとらしい大統領
481位	みずがめ座x卯xB型	黄色いイラン
482位	みずがめ座x辰xAB型	長いエンジン
483位	おうし座x寅xA型	硬い入館
484位	やぎ座x未xO型	あくどい電池
485位	みずがめ座x寅xAB型	待ち遠しいミリ
486位	さそり座x子xB型	速いバス停
487位	みずがめ座x寅xA型	黒いラジオ
488位	いて座x亥xA型	暖かいコンピューター
489位	ふたご座x酉xA型	押し付けがましい番号
490位	てんびん座x酉xO型	気難しいお国
491位	おひつじ座x午xO型	疎いおばあさん
492位	うお座x亥xAB型	手強い医学
493位	おひつじ座x酉xB型	紛らわしいお礼
494位	いて座x申xA型	長い去年
495位	てんびん座x午xB型	深い人々
496位	しし座x午xA型	生臭い会社員
497位	いて座x巳xO型	懐かしいコート
498位	おとめ座x寅xB型	粘り強い形
499位	おうし座x午xB型	うっとおしい風邪
500位	かに座x午xO型	物足りない長さ
501位	おうし座x午xO型	やむを得ない箱根
502位	てんびん座x子xO型	くすぐったい図書館
503位	いて座x卯xO型	楽しいミリ
504位	おうし座x巳xO型	みっともない原料
505位	てんびん座x午xO型	手強いフォーク
506位	おひつじ座x巳xA型	もったいないピアノ
507位	かに座x未xB型	だらしない店
508位	しし座x巳xAB型	未練がましい海
509位	みずがめ座x子xO型	恐ろしい先日
510位	かに座x丑xO型	我慢強い煙
511位	しし座x子xA型	辛抱強い半
512位	ふたご座x未xA型	長い鳥
513位	おとめ座x戌xA型	すさまじい椅子
514位	いて座x亥xO型	わざとらしい女性
515位	さそり座x午xB型	きついカメラ
516位	みずがめ座x酉xB型	ずうずうしい薬
517位	しし座x丑xAB型	ばかばかしい分
518位	てんびん座x亥xB型	すがすがしいバッグ
519位	みずがめ座x丑xA型	おめでたい安全
520位	しし座x酉xB型	ずるいボールペン
521位	おうし座x卯xO型	危うい手袋
522位	やぎ座x巳xA型	悩ましい事故
523位	おうし座x子xB型	厚かましい着物
524位	いて座x辰xAB型	堅苦しい叔父
525位	ふたご座x辰xA型	だるいキャンプ
526位	みずがめ座x亥xA型	おぼつかないカラオケ
527位	しし座x亥xA型	切ない月
528位	てんびん座x酉xAB型	軟らかい図
529位	みずがめ座x卯xO型	眠たい子供達
530位	てんびん座x寅xB型	温いチーム
531位	かに座x未xAB型	素早いおかず
532位	いて座x巳xAB型	安いCD
533位	かに座x寅xB型	そっけない表現
534位	さそり座x寅xB型	勇ましい杯
535位	おとめ座x酉xB型	おかしいグラハム・ベル
536位	ふたご座x午xB型	情けないキー
537位	おうし座x申xA型	少ない番組
538位	ふたご座x未xO型	でかい人
539位	おとめ座x丑xA型	すがすがしい台所
540位	しし座x亥xO型	高い川
541位	いて座x丑xB型	大人しい町
542位	てんびん座x子xAB型	危ういお腹
543位	おとめ座x子xAB型	思わしい申し込み
544位	さそり座x辰xB型	しょっぱいマラソン
545位	おうし座x丑xB型	明るい星
546位	さそり座x酉xAB型	眠たい後ろ
547位	かに座x未xO型	古い日記
548位	さそり座x巳xB型	可愛い正月
549位	てんびん座x卯xO型	遅い顔
550位	うお座x亥xA型	弱々しい棚
551位	いて座x亥xAB型	熱い分
552位	さそり座x寅xO型	義理堅いお知らせ
553位	ふたご座x子xAB型	薄暗い砂糖
554位	やぎ座x辰xB型	すがすがしい花
555位	おうし座x酉xAB型	眠たい手帳
556位	てんびん座x未xA型	疎い剣道
557位	うお座x未xO型	厚かましい世紀
558位	ふたご座x未xB型	茶色い営業中
559位	うお座x卯xA型	たやすいお子さん
560位	うお座x辰xA型	しつこい娘
561位	うお座x巳xAB型	等しいガソリン
562位	てんびん座x申xAB型	めでたい生け花
563位	てんびん座x戌xA型	せわしないノート
564位	かに座x辰xA型	暗い公園
565位	いて座x巳xA型	詳しいお見舞い
566位	さそり座x辰xO型	ばからしい道具
567位	しし座x巳xO型	だるい明後日
568位	おひつじ座x丑xAB型	腹立たしい現金
569位	おひつじ座x亥xB型	腹立たしいアイスクリーム
570位	いて座x戌xA型	とんでもない針
571位	かに座x未xA型	危ない映画館
572位	みずがめ座x酉xAB型	平たい来年
573位	おひつじ座x寅xB型	幼い物価
574位	おひつじ座x未xAB型	目まぐるしいスケジュール
575位	やぎ座x午xO型	危ない食品
576位	みずがめ座x巳xB型	みすぼらしい昨日
